UK General Election Results 1992,,,,,,,,,
Constituency,MP,Candidate,Party,Votes,%,Electorate,Majority,Turnout,Status
Aberavon,*,J Morris,Labour,26877,67.08%,51655,21310,77.57%,Labour Hold
,,WH Williams,Conservative,5567,13.89%,,,,
,,Ms. M Harris,Liberal Democrat,4999,12.48%,,,,
,,DWJ Saunders,Plaid Cymru,1919,4.79%,,,,
,,Captain Beany,Independent,707,1.76%,,,,
,,,,,,,,,
Aberdeen North,*,R Hughes,Labour,18845,47.04%,59911,9237,66.87%,Labour Hold
,,JA McGugan,Scottish National,9608,23.98%,,,,
,,PS Cook,Conservative,6836,17.06%,,,,
,,Dr. MA Ford,Liberal Democrat,4772,11.91%,,,,
,,,,,,,,,
Aberdeen South,,RS Robertson,Conservative,15808,38.47%,58494,1517,70.24%,Conservative Gain
,*,F Doran,Labour,14291,34.78%,,,,
,,JC Davidson,Scottish National,6223,15.15%,,,,
,,Ms. Irene Keith,Liberal Democrat,4767,11.60%,,,,
,,,,,,,,,
Aldershot,*,JMG Critchley,Conservative,36974,57.46%,81755,19188,78.71%,Conservative Hold
,,AP Collett,Liberal Democrat,17786,27.64%,,,,
,,JA Smith,Labour,8552,13.29%,,,,
,,DH Robinson,Liberal,1038,1.61%,,,,
,,,,,,,,,
Aldridge-Brownhills,*,RCS Shepherd,Conservative,28431,54.32%,63404,11024,82.55%,Conservative Hold
,,NE Fawcett,Labour,17407,33.26%,,,,
,,S Reynolds,Liberal Democrat,6503,12.42%,,,,
,,,,,,,,,
Altrincham and Sale,*,Sir WF Montgomery,Conservative,29066,54.68%,66248,16791,80.23%,Conservative Hold
,,Mrs ME Atherton,Labour,12275,23.09%,,,,
,,JH Mulholland,Liberal Democrat,11601,21.83%,,,,
,,JC Renwick,Natural Law,212,0.40%,,,,
,,,,,,,,,
Alyn and Deeside,*,SB Jones,Labour,25206,52.04%,60478,7851,80.08%,Labour Hold
,,JJ Riley,Conservative,17355,35.83%,,,,
,,RA Britton,Liberal Democrat,4687,9.68%,,,,
,,JD Rogers,Plaid Cymru,551,1.14%,,,,
,,Victor J Button,Green,433,0.89%,,,,
,,JM Cooksey,Independent,200,0.41%,,,,
,,,,,,,,,
Amber Valley,*,PACL Oppenheim,Conservative,27418,46.14%,70156,712,84.69%,Conservative Hold
,,JG Cooper,Labour,26706,44.95%,,,,
,,G Brocklebank,Liberal Democrat,5294,8.91%,,,,
,,,,,,,,,
Angus East,*,AP Welsh,Scottish National,19006,40.10%,63170,954,75.03%,Scottish National Hold
,,Dr. RO Harris,Conservative,18052,38.09%,,,,
,,DG Taylor,Labour,5994,12.65%,,,,
,,CA McLeod,Liberal Democrat,3897,8.22%,,,,
,,DM McCabe,Green,449,0.95%,,,,
,,,,,,,,,
Antrim East,*,JR Beggs,Ulster Unionist,16966,43.22%,62864,7422,62.44%,Ulster Unionist Hold
,,NA Dodds,Democratic Unionist,9544,24.32%,,,,
,,S Neeson,Alliance,9132,23.27%,,,,
,,Miss Myrtle M Boal,Conservative,3359,8.56%,,,,
,,Miss Andrea Palmer,Natural Law,250,0.64%,,,,
,,,,,,,,,
Antrim North,*,Rev. IRK Paisley,Democratic Unionist,23152,50.88%,69114,14936,65.83%,Democratic Unionist Hold
,,JA Gaston,Ulster Unionist,8216,18.06%,,,,
,,SN Farren,Social Democratic and Labour,6512,14.31%,,,,
,,JG Williams,Alliance,3442,7.56%,,,,
,,TRH Sowler,Conservative,2263,4.97%,,,,
,,JK McCarry,Sinn Féin,1916,4.21%,,,,
,,,,,,,,,
Antrim South,*,C Forsythe,Ulster Unionist,29956,70.92%,67192,24559,62.86%,Ulster Unionist Hold
,,SD McClelland,Social Democratic and Labour,5397,12.78%,,,,
,,JK Blair,Alliance,5224,12.37%,,,,
,,HJ Cushinan,Sinn Féin,1220,2.89%,,,,
,,DJ Dino-Martin,Raving Loony Green Giant,442,1.05%,,,,
,,,,,,,,,
Argyll and Bute,,Mrs JRay Michie,Liberal Democrat,12739,34.91%,47921,2622,76.15%,Liberal Democrat Gain
,,JA Corrie,Conservative,10117,27.72%,,,,
,,Prof. DN MacCormick,Scottish National,8689,23.81%,,,,
,,DH Browne,Labour,4946,13.55%,,,,
,,,,,,,,,
Arundel,*,Sir RM Marshall,Conservative,35405,57.98%,79299,19863,77.00%,Conservative Hold
,,Dr. JMM Walsh,Liberal Democrat,15542,25.45%,,,,
,,RA Nash,Labour,8321,13.63%,,,,
,,Mrs DA Renson,Liberal,1103,1.81%,,,,
,,RD Corbin,Green,693,1.13%,,,,
,,,,,,,,,
Ashfield,,GW Hoon,Labour,32018,54.88%,72528,12987,80.44%,Labour Hold
,,LA Robertson,Conservative,19031,32.62%,,,,
,,JS Turton,Liberal Democrat,7291,12.50%,,,,
,,,,,,,,,
Ashford,,HK Speed,Conservative,31031,54.59%,71768,17359,79.20%,Conservative Hold
,,Ms. CLB Headley,Liberal Democrat,13672,24.05%,,,,
,,Ms. DA Cameron,Labour,11365,19.99%,,,,
,,Dr. CA Porter,Green,773,1.36%,,,,
,,,,,,,,,
Ashton-under-Lyne,,RE Sheldon,Labour,24550,56.61%,58702,10935,73.87%,Labour Hold
,,JR Pinniger,Conservative,13615,31.40%,,,,
,,CW Turner,Liberal Democrat,4005,9.24%,,,,
,,CL Hall,Liberal,907,2.09%,,,,
,,J Brannigan,Natural Law,289,0.67%,,,,
,,,,,,,,,
Aylesbury,,DR Lidington,Conservative,36500,57.39%,79090,18860,80.41%,Conservative Hold
,,Ms. SM Bowles,Liberal Democrat,17640,27.74%,,,,
,,R Priest,Labour,8517,13.39%,,,,
,,NA Foster,Green,702,1.10%,,,,
,,BHM D'Arcy,Natural Law,239,0.38%,,,,
,,,,,,,,,
Ayr,,PR Gallie,Conservative,22172,40.75%,65534,85,83.02%,Conservative Hold
,,AG Osborne,Labour,22087,40.60%,,,,
,,Mrs BA Mullin,Scottish National,5949,10.93%,,,,
,,JA Boss,Liberal Democrat,4067,7.48%,,,,
,,RB Scott,Natural Law,132,0.24%,,,,
,,,,,,,,,
Banbury,,AB Baldry,Conservative,32215,55.01%,71847,16720,81.51%,Conservative Hold
,,Mrs AT Billingham,Labour,15495,26.46%,,,,
,,GJ Fisher,Liberal Democrat,10602,18.10%,,,,
,,Dr. R Ticciati,Natural Law,250,0.43%,,,,
,,,,,,,,,
Banff and Buchan,,AEA Salmond,Scottish National,21954,47.53%,64472,4108,71.65%,Scottish National Hold
,,SP Manson,Conservative,17846,38.64%,,,,
,,BR Balcombe,Labour,3803,8.23%,,,,
,,Ms. RC Kemp,Liberal Democrat,2588,5.60%,,,,
,,,,,,,,,
Barking,,Miss J Richardson,Labour,18224,51.61%,50480,6268,69.95%,Labour Hold
,,JG Kennedy,Conservative,11956,33.86%,,,,
,,SW Churchman,Liberal Democrat,5133,14.54%,,,,
,,,,,,,,,
Barnsley Central,,EE Illsley,Labour,27048,69.25%,55374,19361,70.53%,Labour Hold
,,DN Senior,Conservative,7687,19.68%,,,,
