UK General Election Results 1997,,,,,,,,,,
Constituency,MP,Candidate,Party,Votes,%Share,Electorate,Majority,Turnout,Status,Declaration
Aberavon,,John Morris,Labour,25650,71.32%,50025,21571,71.89%,Labour Hold,02/05/97 01:41
,,Ronald McConville,Liberal Democrat,4079,11.34%,,,,,
,,Peter Harper,Conservative,2835,7.88%,,,,,
,,Philip Cockwell,Plaid Cymru,2088,5.81%,,,,,
,,Peter David,Referendum,970,2.70%,,,,,
,,Captain Beany,Independent,341,0.95%,,,,,
,,,,,,,,,,
Aberdeen Central,,Frank Doran,Labour,17745,49.82%,54257,10801,65.64%,Labour Gain,02/05/97 02:16
,,Jill Wisely,Conservative,6944,19.50%,,,,,
,,Brian Topping,Scottish National,5767,16.19%,,,,,
,,John Brown,Liberal Democrat,4714,13.24%,,,,,
,,James Farquharson,Referendum,446,1.25%,,,,,
,,,,,,,,,,
Aberdeen North,,Malcolm Savidge,Labour,18389,47.87%,54302,10010,70.74%,Labour Hold,02/05/97 02:39
,,Brian Adam,Scottish National,8379,21.81%,,,,,
,,James Gifford,Conservative,5763,15.00%,,,,,
,,Mike Rumbles,Liberal Democrat,5421,14.11%,,,,,
,,Alasdair MacKenzie,Referendum,463,1.21%,,,,,
,,,,,,,,,,
Aberdeen South,,Anne Begg,Labour,15541,35.27%,60490,3365,72.84%,Labour Gain,02/05/97 02:07
,,Nicol Stephen,Liberal Democrat,12176,27.63%,,,,,
,,Raymond Robertson,Conservative,11621,26.37%,,,,,
,,Jim Towers,Scottish National,4299,9.76%,,,,,
,,Rick Wharton,Referendum,425,0.96%,,,,,
,,,,,,,,,,
Aberdeenshire West and Kincardine,,Robert Smith,Liberal Democrat,17742,41.07%,59123,2662,73.07%,Liberal Democrat Gain,02/05/97 02:08
,,George Kynoch,Conservative,15080,34.91%,,,,,
,,Joy Mowatt,Scottish National,5649,13.08%,,,,,
,,Qaisra Khan,Labour,3923,9.08%,,,,,
,,Steve Ball,Referendum,808,1.87%,,,,,
,,,,,,,,,,
Airdrie and Shotts,,Helen Liddell,Labour,25460,61.82%,57673,15412,71.40%,Labour Hold,02/05/97 02:12
,,Keith Robertson,Scottish National,10048,24.40%,,,,,
,,Nicholas Brook,Conservative,3660,8.89%,,,,,
,,Richard Wolseley,Liberal Democrat,1719,4.17%,,,,,
,,Crawford Semple,Referendum,294,0.71%,,,,,
,,,,,,,,,,
Aldershot,,Gerald Howarth,Conservative,23119,42.69%,76189,6621,71.07%,Conservative Hold,02/05/97 04:27
,,Adrian Collett,Liberal Democrat,16498,30.47%,,,,,
,,Terence Bridgeman,Labour,13057,24.11%,,,,,
,,John Howe,United Kingdom Independence,794,1.47%,,,,,
,,Arthur Pendragon,Independent,361,0.67%,,,,,
,,Donald Stevens,British National,322,0.59%,,,,,
,,,,,,,,,,
