UK General Election Results 2001,,,,,,,,,,
Constituency,MP,Candidate,Party,Votes,%,Electorate,Majority,Turnout,Status,Declaration
Aberavon,,Hywel Francis,Labour,19063,63.14%,49660,16108,60.79%,Labour Hold,08/06/01 01:40
,,Lisa Turnbull,Plaid Cymru,2955,9.79%,,,,,
,,Chris Davies,Liberal Democrat,2933,9.72%,,,,,
,,Ali Miraj,Conservative,2296,7.61%,,,,,
,,Andrew Tutton,Rate Payers,1960,6.49%,,,,,
,,Captain Beany,New Millennium Bean,727,2.41%,,,,,
,,Martin Chapman,Socialist Alliance,256,0.85%,,,,,
,,,,,,,,,,
Aberdeen Central,,Frank Doran,Labour,12025,45.50%,50098,6646,52.75%,Labour Hold,08/06/01 02:42
,,Wayne Gault,Scottish National,5379,20.35%,,,,,
,,Eleanor Anderson,Liberal Democrat,4547,17.20%,,,,,
,,Stewart Whyte,Conservative,3761,14.23%,,,,,
,,Andy Cumbers,Scottish Socialist,717,2.71%,,,,,
,,,,,,,,,,
Aberdeen North,,Malcolm Savidge,Labour,13157,43.34%,52746,4449,57.55%,Labour Hold,08/06/01 02:54
,,Alasdair Allan,Scottish National,8708,28.69%,,,,,
,,Jim Donaldson,Liberal Democrat,4991,16.44%,,,,,
,,Richard Cowling,Conservative,3047,10.04%,,,,,
,,Shona Forman,Scottish Socialist,454,1.50%,,,,,
,,,,,,,,,,
Aberdeen South,,Anne Begg,Labour,14696,39.84%,58907,4388,62.62%,Labour Hold,08/06/01 03:01
,,Ian Yuill,Liberal Democrat,10308,27.94%,,,,,
,,Moray Macdonald,Conservative,7098,19.24%,,,,,
,,Ian Angus,Scottish National,4293,11.64%,,,,,
,,David Watt,Scottish Socialist,495,1.34%,,,,,
,,,,,,,,,,
Aberdeenshire West and Kincardine,,Robert Smith,Liberal Democrat,16507,43.54%,61180,4821,61.97%,Liberal Democrat Hold,08/06/01 03:01
,,Tom Kerr,Conservative,11686,30.82%,,,,,
,,Kevin Hutchens,Labour,4669,12.31%,,,,,
,,John Green,Scottish National,4634,12.22%,,,,,
,,Alan Manley,Scottish Socialist,418,1.10%,,,,,
,,,,,,,,,,
Airdrie and Shotts,,Helen Liddell,Labour,18478,58.22%,58349,12340,54.39%,Labour Hold,08/06/01 01:06
,,Alison Lindsay,Scottish National,6138,19.34%,,,,,
,,John Love,Liberal Democrat,2376,7.49%,,,,,
,,Gordon McIntosh,Conservative,1960,6.18%,,,,,
,,Mary Dempsey,Scottish Unionist,1439,4.53%,,,,,
,,Kenny McGuigan,Scottish Socialist,1171,3.69%,,,,,
,,Christopher Herriot,Socialist Labour,174,0.55%,,,,,
,,,,,,,,,,
Aldershot,,Gerald Howarth,Conservative,19106,42.16%,78262,6564,57.90%,Conservative Hold,08/06/01 04:36
,,Adrian Collett,Liberal Democrat,12542,27.68%,,,,,
,,Luke Akehurst,Labour,11391,25.14%,,,,,
,,Derek Rumsey,United Kingdom Independence,797,1.76%,,,,,
,,Adam Stacey,Green,630,1.39%,,,,,
,,Arthur Pendragon,Independent,459,1.01%,,,,,
,,Alan Hope,Monster Raving Loony,390,0.86%,,,,,
,,,,,,,,,,
Aldridge-Brownhills,,Richard Shepherd,Conservative,18974,50.18%,62388,3768,60.60%,Conservative Hold,08/06/01 02:00
,,Ian Geary,Labour,15206,40.22%,,,,,
,,Monica Howes,Liberal Democrat,3251,8.60%,,,,,
,,John Rothery,Socialist Alliance,379,1.00%,,,,,
,,,,,,,,,,
Altrincham and Sale West,,Graham Brady,Conservative,20113,46.16%,71820,2941,60.66%,Conservative Hold,08/06/01 01:49
,,Janet Baugh,Labour,17172,39.41%,,,,,
,,Christopher Gaskell,Liberal Democrat,6283,14.42%,,,,,
,,,,,,,,,,
Alyn and Deeside,,Mark Tami,Labour,18525,52.30%,60478,9222,58.57%,Labour Hold,08/06/01 02:01
,,Mark Isherwood,Conservative,9303,26.26%,,,,,
,,Derek Burnham,Liberal Democrat,4585,12.94%,,,,,
,,Richard Coombs,Plaid Cymru,1182,3.34%,,,,,
,,Klaus Armstrong-Braun,Green,881,2.49%,,,,,
,,William Crawford,United Kingdom Independence,481,1.36%,,,,,
,,Max Cooksey,Independent,253,0.71%,,,,,
,,Glyn Davies,Communist of Britain,211,0.60%,,,,,
,,,,,,,,,,
Amber Valley,,Judy Mallaber,Labour,23101,51.90%,73798,7227,60.32%,Labour Hold,08/06/01 01:56
,,Gillian Shaw,Conservative,15874,35.66%,,,,,
,,Kate Smith,Liberal Democrat,5538,12.44%,,,,,
,,,,,,,,,,
Angus,,Michael Weir,Scottish National,12347,35.26%,59004,3611,59.34%,Scottish National Hold,08/06/01 00:35
,,Marcus Booth,Conservative,8736,24.95%,,,,,
,,Ian McFatridge,Labour,8183,23.37%,,,,,
,,Peter Nield,Liberal Democrat,5015,14.32%,,,,,
,,Bruce Wallace,Scottish Socialist,732,2.09%,,,,,
,,,,,,,,,,
Antrim East,,Roy Beggs,Ulster Unionist,13101,36.39%,60897,128,59.12%,Ulster Unionist Hold,08/06/01 20:59
,,Sammy Wilson,Democratic Unionist,12973,36.04%,,,,,
,,John Mathews,Alliance,4483,12.45%,,,,,
,,Danny O'Connor,Social Democratic and Labour,2641,7.34%,,,,,
,,Robert Mason,Independent,1092,3.03%,,,,,
,,Jeanette Graffin,Sinn Féin,903,2.51%,,,,,
,,Alan Greer,Conservative,807,2.24%,,,,,
,,,,,,,,,,
Antrim North,,Ian Paisley,Democratic Unionist,24539,49.86%,74451,14224,66.11%,Democratic Unionist Hold,08/06/01 17:57
,,Lexie Scott,Ulster Unionist,10315,20.96%,,,,,
,,Sean Farren,Social Democratic and Labour,8283,16.83%,,,,,
,,John Kelly,Sinn Féin,4822,9.80%,,,,,
,,Jayne Dunlop,Alliance,1258,2.56%,,,,,
,,,,,,,,,,
Antrim South,,David Burnside,Ulster Unionist,16366,37.06%,70651,1011,62.50%,Ulster Unionist Hold,08/06/01 19:05
,,Robert McCrea,Democratic Unionist,15355,34.77%,,,,,
,,Sean McKee,Social Democratic and Labour,5336,12.08%,,,,,
,,Martin Meehan,Sinn Féin,4160,9.42%,,,,,
,,David Ford,Alliance,1969,4.46%,,,,,
,,Norman Boyd,Northern Ireland Unionist,972,2.20%,,,,,
,,,,,,,,,,
Argyll and Bute,,Alan Reid,Liberal Democrat,9245,29.86%,49175,1653,62.95%,Liberal Democrat Hold,08/06/01 12:46
,,Hugh Raven,Labour,7592,24.52%,,,,,
,,David Petrie,Conservative,6436,20.79%,,,,,
,,Agnes Samuel,Scottish National,6433,20.78%,,,,,
,,Des Divers,Scottish Socialist,1251,4.04%,,,,,
,,,,,,,,,,
Arundel and South Downs,,Howard Flight,Conservative,23969,52.23%,70956,13704,64.67%,Conservative Hold,08/06/01 04:09
,,Derek Deedman,Liberal Democrat,10265,22.37%,,,,,
,,Charles Taylor,Labour,9488,20.68%,,,,,
,,Robert Perrin,United Kingdom Independence,2167,4.72%,,,,,
,,,,,,,,,,
Ashfield,,Geoff Hoon,Labour,22875,58.13%,73428,13268,53.59%,Labour Hold,08/06/01 03:21
,,Julian Leigh,Conservative,9607,24.41%,,,,,
,,Bill Smith,Liberal Democrat,4428,11.25%,,,,,
,,Melvin Harby,Independent,1471,3.74%,,,,,
,,George Watson,Socialist Alliance,589,1.50%,,,,,
,,Katrina Howse,Socialist Labour,380,0.97%,,,,,
,,,,,,,,,,
Ashford,,Damien Green,Conservative,22739,47.44%,76699,7359,62.50%,Conservative Hold,08/06/01 03:59
,,John Adams,Labour,15380,32.08%,,,,,
,,Keith Fitchett,Liberal Democrat,7236,15.09%,,,,,
,,Richard Boden,Green,1353,2.82%,,,,,
,,David Waller,United Kingdom Independence,1229,2.56%,,,,,
,,,,,,,,,,
Ashton-under-Lyne,,David Heyes,Labour,22340,62.47%,72820,15518,49.11%,Labour Hold,08/06/01 00:14
,,Tim Charlesworth,Conservative,6822,19.08%,,,,,
,,Kate Fletcher,Liberal Democrat,4237,11.85%,,,,,
,,Roger Woods,British National,1617,4.52%,,,,,
,,Nigel Rolland,Green,748,2.09%,,,,,
,,,,,,,,,,
Aylesbury,,David Lidington,Conservative,23230,47.32%,80002,10009,61.36%,Conservative Hold,08/06/01 04:46
,,Peter Jones,Liberal Democrat,13221,26.93%,,,,,
,,Keith White,Labour,11388,23.20%,,,,,
,,Justin Harper,United Kingdom Independence,1248,2.54%,,,,,
,,,,,,,,,,
Ayr,,Sandra Osborne,Labour,16801,43.57%,55630,2545,69.32%,Labour Hold,08/06/01 01:47
,,Phil Gallie,Conservative,14256,36.97%,,,,,
,,Jim Mather,Scottish National,4621,11.98%,,,,,
,,Stuart Ritchie,Liberal Democrat,2089,5.42%,,,,,
,,James Stewart,Scottish Socialist,692,1.79%,,,,,
,,Joseph Smith,United Kingdom Independence,101,0.26%,,,,,
,,,,,,,,,,
Banbury,,Anthony Baldry,Conservative,23271,45.17%,83392,5219,61.77%,Conservative Hold,08/06/01 03:28
,,Leslie Sibley,Labour,18052,35.04%,,,,,
,,Tony Worgan,Liberal Democrat,8216,15.95%,,,,,
,,Bevis Cotton,Green,1281,2.49%,,,,,
,,Stephen Harris,United Kingdom Independence,695,1.35%,,,,,
,,,,,,,,,,
Banff and Buchan,,Alex Salmond,Scottish National,16710,54.24%,56496,10503,54.53%,Scottish National Hold,08/06/01 03:30
,,Alexander Wallace,Conservative,6207,20.15%,,,,,
,,Edward Harris,Labour,4363,14.16%,,,,,
,,Douglas Herbison,Liberal Democrat,2769,8.99%,,,,,
,,Alice Rowan,Scottish Socialist,447,1.45%,,,,,
,,Eric Davidson,United Kingdom Independence,310,1.01%,,,,,
,,,,,,,,,,
Barking,,Margaret Hodge,Labour,15302,60.90%,55229,9534,45.49%,Labour Hold,08/06/01 01:02
,,Mike Weatherley,Conservative,5768,22.96%,,,,,
,,Anura Keppetipola,Liberal Democrat,2450,9.75%,,,,,
,,Mark Toleman,British National,1606,6.39%,,,,,
,,,,,,,,,,
Barnsley Central,,Eric Illsley,Labour,19181,69.64%,60086,15130,45.84%,Labour Hold,07/06/01 23:45
,,Alan Hartley,Liberal Democrat,4051,14.71%,,,,,
,,Ian McCord,Conservative,3608,13.10%,,,,,
,,Henry Rajch,Socialist Alliance,703,2.55%,,,,,
,,,,,,,,,,
Barnsley East and Mexborough,,Jeff Ennis,Labour,21945,67.50%,65655,16789,49.51%,Labour Hold,08/06/01 00:16
,,Sharron Brook,Liberal Democrat,5156,15.86%,,,,,
,,Matthew Offord,Conservative,4024,12.38%,,,,,
,,Terry Robinson,Socialist Labour,722,2.22%,,,,,
,,George Savage,United Kingdom Independence,662,2.04%,,,,,
,,,,,,,,,,
Barnsley West and Penistone,,Michael Clapham,Labour,20244,58.57%,65291,12352,52.94%,Labour Hold,08/06/01 00:23
,,William Rowe,Conservative,7892,22.83%,,,,,
,,Miles Crompton,Liberal Democrat,6428,18.60%,,,,,
,,,,,,,,,,
Barrow and Furness,,John Hutton,Labour,21724,55.67%,64746,9889,60.27%,Labour Hold,08/06/01 03:21
,,James Airey,Conservative,11835,30.33%,,,,,
,,Barry Rabone,Liberal Democrat,4750,12.17%,,,,,
,,John Smith,United Kingdom Independence,711,1.82%,,,,,
,,,,,,,,,,
Basildon,,Angela Smith,Labour/Co-operative,21551,52.72%,74121,7738,55.15%,Labour/Co-operative Hold,08/06/01 01:27
,,Dominic Schofield,Conservative,13813,33.79%,,,,,
,,Jane Smithard,Liberal Democrat,3691,9.03%,,,,,
,,Frank Mallon,United Kingdom Independence,1397,3.42%,,,,,
,,Dick Duane,Socialist Alliance,423,1.03%,,,,,
,,,,,,,,,,
Basingstoke,,Andrew Hunter,Conservative,20490,42.69%,79110,880,60.67%,Conservative Hold,08/06/01 03:16
,,Jon Hartley,Labour,19610,40.86%,,,,,
,,Steve Sollitt,Liberal Democrat,6693,13.95%,,,,,
,,Kim-Elisbeth Graham,United Kingdom Independence,1202,2.50%,,,,,
,,,,,,,,,,
Bassetlaw,,John Mann,Labour,21506,55.29%,68302,9748,56.95%,Labour Hold,08/06/01 01:08
,,Alison Holley,Conservative,11758,30.23%,,,,,
,,Neil Taylor,Liberal Democrat,4942,12.71%,,,,,
,,Kevin Meloy,Socialist Labour,689,1.77%,,,,,
,,,,,,,,,,
Bath,,Don Foster,Liberal Democrat,23372,50.48%,71372,9894,64.87%,Liberal Democrat Hold,08/06/01 01:25
,,Ashley Fox,Conservative,13478,29.11%,,,,,
,,Marilyn Hawkings,Labour,7269,15.70%,,,,,
,,Mike Boulton,Green,1469,3.17%,,,,,
,,Andrew Tettenborn,United Kingdom Independence,708,1.53%,,,,,
,,,,,,,,,,
Batley and Spen,,Mike Wood,Labour,19224,49.88%,63665,5064,60.54%,Labour Hold,08/06/01 03:23
,,Elizabeth Peacock,Conservative,14160,36.74%,,,,,
,,Kath Pinnock,Liberal Democrat,3989,10.35%,,,,,
,,Clive Lord,Green,595,1.54%,,,,,
