"Constituency name, electorate, 2001 result",Turnout,Candidate (* = incumbent MP),Party,Votes,Percent share,* = lost deposit,Change 2001-05,
,,,,,,,,
Aberavon [1],59.4,"Francis, D.H.*",Lab,18'077,60,,-,3.1
50'685, ,"Waller, C.M. Ms.",LD,4'140,13.8,,+,4
, ,"Evans, P.D.",PC,3'545,11.8,,+,2
, ,"Rees-Mogg, A.M. Ms.",Con,3'064,10.2,,+,2.6
, ,"Wright, W.J.",Ver,768,2.6,*,, 
, ,"La Vey, M.J. Ms.",Grn,510,1.7,*,,
, , , ,-----,---,, , 
,, , ,13'937,46.3,, , 
2001: Lab,, , , , , , , 
Aberdeen North [2],55.7,"Doran, F.*",Lab,15'557,42.5,,-,6.8
65'714, ,"Delaney, S.",LD,8'762,23.9,,+,11.7
, ,"Stewart, K.M.",SNP,8'168,22.3,,-,3.3
, ,"Anderson, D.",Con,3'456,9.4,,-,1
, ,"Connon, J.",SSP,691,1.9,*,-,0.5
, , , ,-----,---,, , 
,, , ,6'795,18.5,, , 
2001: Lab,, , , , , , , 
Aberdeen South [3],62.1,"Begg, A. Ms.*",Lab,15'272,36.7,,-,1.4
67'012, ,"Harris, V.S. Ms.",LD,13'924,33.5,,+,4.9
, ,"Whyte, S.N.G.",Con,7'134,17.1,,-,2.7
, ,"Watt, M.E. Ms.",SNP,4'120,9.9,,-,2.3
, ,"Reekie, R. Ms.",Grn,768,1.8,*,,
, ,"Munro, D.J.",SSP,403,1,*,-,0.4
, , , ,-----,---,, , 
,, , ,1'348,3.2,, , 
2001: Lab,, , , , , , , 
Aberdeenshire West and Kincardine   [4],63.5,"Smith, R.*",LD,19'285,46.3,,+,2.3
65'548, ,"Johnstone, A.",Con,11'814,28.4,,-,2.2
, ,"Barrowman, J.",Lab,5'470,13.1,,+,0.9
, ,"Little, C.E. Ms.",SNP,4'700,11.3,,-,0.9
, ,"Grant, L.M. Ms.",SSP,379,0.9,*,-,0.2
, , , ,-----,---,, , 
,, , ,7'471,17.9,, , 
2001: LD,, , , , , , , 
Airdrie and Shotts [5],54.7,"Reid, J.*",Lab,19'568,59,,+,0.4
60'618, ,"Balfour, M.T.",SNP,5'484,16.5,,-,2.6
, ,"Watt, H.D. Ms.",LD,3'792,11.4,,+,3.6
, ,"Cottis, S.",Con,3'271,9.9,,+,3.7
, ,"Coats, F.D.",SSP,706,2.1,*,-,1.6
, ,"Rowan, J.",SIP,337,1,*,, 
, , , ,-----,---,, , 
,, , ,14'084,42.5,, , 
2001: Lab,, , , , , , , 
Aldershot [6],61.1,"Howarth, J.G.D.*",Con,20'572,42.7,,+,0.5
78'803, ,"Collett, A.P.",LD,15'238,31.7,,+,4
, ,"Linsley, H.J.",Lab,9'895,20.6,,-,4.6
, ,"Rumsey, D.L.",UKIP,1'182,2.5,*,+,0.7
, ,"Cowd, G.A.",ED,701,1.5,*,, 
, ,"Hope, A.",MRLP,553,1.1,*,, 
,,,,,,,,
, , , ,-----,---,, , 
,, , ,5'334,11.1,, , 
2001: Con,, , , , , , , 
Aldridge-Brownhills [7],64.5,"Shepherd, R.C.S.*",Con,18'744,47.4,,-,2.8
61'289, ,"Phillips, J.D.",Lab,13'237,33.5,,-,6.8
, ,"Sheward, R.M.",LD,4'862,12.3,,+,3.7
, ,"Vaughan, W.R.",BNP,1'620,4.1,*,,
, ,"Eardley, G.",UKIP,1'093,2.8,*,,
, , , ,-----,---,, , 
,, , ,5'507,13.9,, , 
2001: Con,, , , , , , , 
Altrincham and Sale West [8],66.8,"Brady, G.S.*",Con,20'569,46.4,,+,0.3
66'337, ,"Stockton, J.R.",Lab,13'410,30.3,,-,9.2
, ,"Chappell, I.S.",LD,9'595,21.7,,+,7.2
, ,"Peart, G.D.",UKIP,736,1.7,*,,
, , , ,-----,---,, , 
,, , ,7'159,16.2,, , 
2001: Con,, , , , , , , 
Alyn and Deeside [9],59.7,"Tami, M.R.*",Lab,17'331,48.8,,-,3.5
59'441, ,"Hale, L.C. Ms.",Con,8'953,25.2,,-,1
, ,"Brighton, P.J.",LD,6'174,17.4,,+,4.4
, ,"Coombs, R.S.",PC,1'320,3.7,*,+,0.4
, ,"Crawford, W.",UKIP,918,2.6,*,+,1.2
, ,"Armstrong-Braun, K.",FW,378,1.1,*,, 
, ,"Kilshaw, J.A. Ms.",Ind,215,0.6,*,, 
, ,"Davies, G.",Comm,207,0.6,*,, 
, , , ,-----,---,, , 
,, , ,8'378,23.6,, , 
2001: Lab,, , , , , , , 
Amber Valley [10],63,"Mallaber, J. Ms.*",Lab,21'593,45.6,,-,6.3
75'269, ,"Shaw, G.C. Ms.",Con,16'318,34.4,,-,1.2
, ,"Smith, C.M. Ms.",LD,6'225,13.1,,+,0.7
, ,"Snell, P.E.",BNP,1'243,2.6,*,,
, ,"Stevenson, A.G.",Ver,1'224,2.6,*,, 
, ,"Price, H.G.K.",UKIP,788,1.7,*,,
, , , ,-----,---,, , 
,, , ,5'275,11.1,, , 
2001: Lab,, , , , , , , 
Angus [11],60.5,"Weir, M.F.*",SNP,12'840,33.7,,+,0.5
63'093, ,"Bushby, S.H. Ms.",Con,11'239,29.5,,-,2.2
, ,"Bradley, M.D.",Lab,6'850,18,,-,0.3
, ,"Rennie, S.M.",LD,6'660,17.5,,+,2.7
, ,"Manley, A.H.",SSP,556,1.5,*,-,0.4
, , , ,-----,---,, , 
,, , ,1'601,4.2,, , 
2001: SNP,, , , , , , , 
Antrim East [12],54.8,"Wilson, S.",DUP,15'766,49.6,,+,13.6
57'966, ,"Beggs, J.R.*",UU,8'462,26.6,,-,9.8
, ,"Neeson, S.",APNI,4'869,15.3,,+,2.9
, ,"O'Connor, D.G.",SDLP,1'695,5.3,,-,2
, ,"McKeown, J.",SF,828,2.6,*,+,0.1
, ,"Kerr, D.T.",Vote,147,0.5,*,, 
, , , ,-----,---,, , 
,, , ,7'304,23,, , 
2001: UU,, , , , , , , 
Antrim North [13],62.1,"Paisley, I.R.K.*",DUP,25'156,54.8,,+,4.9
73'938, ,"McGuigan, P.",SF,7'191,15.7,,+,5.9
, ,"McCune, R.J.",UU,6'637,14.5,,-,6.5
, ,"Farren, S.N.",SDLP,5'585,12.2,,-,4.7
