General election results 2010,,,Party,Votes,Share,*lost deposit,change since 2005,
Aberavon [1],50'838,60.9,"Francis, H.*",Lab,16'073,51.9,,-,8.1
, ,"Davies, K.",LD,5'034,16.3,,+,2.5
, ,"Jones, C.Y. Ms.",Con,4'411,14.2,,+,4.1
, ,"Nicholls-Jones, P.",PC,2'198,7.1,,-,4.7
, ,"Edwards, K.A.",BNP,1'276,4.1,*,, 
, ,"Tutton, A.",Ind,919,3,*,, 
, ,"Beany, C.",Bean,558,1.8,*,, 
, ,"Callan, J.",UKIP,489,1.6,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,11'039,35.7,, , 
Aberconwy [2],44'593,67.2,"Bebb, G.A.",Con,10'734,35.8,,+,6.8
, ,"Hughes, R.A.",Lab,7'336,24.5,,-,8.5
, ,"Priestley, M.A.",LD,5'786,19.3,,+,0.2
, ,"Edwards, P.R.",PC,5'341,17.8,,+,3.8
, ,"Wieteska, M.B.",UKIP,632,2.1,*,+,1
, ,"Wynne-Jones, E.L. Ms.",Ch P,137,0.5,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,3'398,11.3,, , 
Aberdeen North [3],64'808,58.2,"Doran, F.*",Lab,16'746,44.4,,+,2
, ,"Strathdee, J.J. Ms.",SNP,8'385,22.2,,-,0.1
, ,"Chapman, K.T.",LD,7'001,18.6,,-,5.3
, ,"Whyte, S.N.G.",Con,4'666,12.4,,+,2.9
, ,"Jones, R.D.",BNP,635,1.7,*,, 
, ,"Robertson, E.J.",SSP,268,0.7,*,-,1.2
, , , ,-----,---,, , 
2005: Lab,, , ,8'361,22.2,, , 
Aberdeen South [4],64'031,67.2,"Begg, A. Ms.*",Lab,15'722,36.5,,-,0.2
, ,"Sleigh, J.",LD,12'216,28.4,,-,5.1
, ,"Harvie, A. Ms.",Con,8'914,20.7,,+,3.6
, ,"McDonald, M.",SNP,5'102,11.9,,+,2
, ,"Ross, S. Ms.",BNP,529,1.2,*,, 
, ,"Reekie, R. Ms.",GRN,413,1,*,-,0.9
, ,"Green, R.",SACL,138,0.3,*,, 
, , , ,-----,---,, , 
2005: Lab,, , ,3'506,8.1,, , 
